Date,Close,High,Low,Open,Volume,MACD,RSI,Pct_Change,MA_5,STD_5,MACD_RSI_Ratio,Change_Pct,Volatility,Sentiment_Score,sentiment_label,Is_News_Day,score_Day
2019-01-02,227.637,228.575,223.789,223.816,126925200,-3.6691960255165554,36.896919651141225,0.10378142576330518,226.036,1.504417993777332,-0.09944450811093838,1.7072059191478706,2.513987453561903,0.0,0.0,0.0,0.0
2019-01-03,222.205,226.173,221.714,225.863,144140700,-3.79605043420608,31.059757926533038,-2.3862553099891493,225.67739999999998,2.175617222767146,-0.1222176439103305,-1.6195658430110231,2.3551371333038458,0.0,0.0,0.0,0.0
2019-01-04,229.648,230.304,224.899,225.281,142628800,-3.2584343676898015,40.48589656874395,3.3496095947435744,226.4634,2.81106195235909,-0.08048319646712206,1.9384679577949273,2.8379056831872784,0.0,0.0,0.0,0.0
2019-01-07,231.459,232.888,229.011,229.921,103139100,-2.65562480711219,46.0014208636547,0.7885982024663951,227.67,3.471623539498587,-0.05772919090876114,0.6689254135116022,1.709349462027397,0.0,0.0,0.0,0.0
2019-01-08,233.634,234.125,231.113,233.679,102512600,-1.9795703102823552,52.65140830882054,0.9396912628154341,228.91660000000002,4.357050527593236,-0.03759767067713407,-0.01925718613996804,1.3679048151583246,0.0,0.0,0.0,0.0
2019-01-09,234.726,235.581,233.106,234.353,95006600,-1.3402276667799242,53.94079885877319,0.46739772464625684,230.33440000000002,4.949659715576448,-0.02484627026546054,0.15916160663613882,1.028071495568278,0.0,0.0,0.0,0.0
2019-01-10,235.554,235.808,232.478,233.17,96823900,-0.757993656437236,58.633086006897265,0.3527517190255791,233.0042,2.424584747951717,-0.012927746227583347,1.0224299867049855,1.6767169309894439,0.0,0.0,0.0,0.0
2019-01-11,235.645,235.672,233.87,234.462,73858100,-0.28593004541161804,63.62238900443081,0.0386323305908709,234.2036,1.7343146484994958,-0.004494173354472829,0.5045593742269627,0.8950144784676225,0.0,0.0,0.0,0.0
2019-01-14,234.207,235.026,233.306,233.716,70908200,-0.027533426569220865,68.4885503613754,-0.6102399796303781,234.75320000000002,0.8643307815876243,-0.0004020150291390681,0.21008403361343914,0.7397208369828884,0.0,0.0,0.0,0.0
2019-01-15,236.891,237.21,234.58,234.589,85208300,0.38933610017704723,81.14767043958935,1.1459947823933447,235.4046,1.022770893211071,0.004797871560181013,0.981290682853839,1.4296942563592605,0.0,0.0,0.0,0.0
